Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
25.12.2024,"50,00","50,00","50,00","50,00","0,00",80.670,4.033.500,4.033.500
18.12.2024,"50,00","50,00","50,00","50,00","0,00",26.654,1.332.700,1.332.700
03.09.2024,"50,00","50,00","50,00","50,00","0,00",618,30.900,30.900
14.12.2023,"50,00","50,00","50,00","50,00","0,00",1.392,69.600,69.600
17.10.2023,"50,00","50,00","50,00","50,00","0,00",1.05,52.500,52.500
13.09.2023,"50,00","50,00","50,00","50,00","0,00",32.0,1.600,1.600
07.08.2023,"50,00","50,00","50,00","50,00","0,00",842.0,42.100,42.100
12.06.2023,"50,00","50,00","50,00","50,00","0,00",1.263,63.150,63.150
05.06.2023,"50,00","50,00","50,00","50,00","0,00",1.233,61.650,61.650
05.01.2023,"50,00","50,00","50,00","50,00","0,00",382.0,19.100,19.100
23.12.2022,"50,00","50,00","50,00","50,00","0,00",4.0,200.000,200.000
06.12.2022,"50,00","50,00","50,00","50,00","0,00",1.234,61.700,61.700
05.12.2022,"50,00","50,00","50,00","50,00","0,00",616.0,30.800,30.800
17.11.2022,"50,00","50,00","50,00","50,00","0,00",1.234,61.700,61.700
15.11.2022,"50,00","50,00","50,00","50,00","0,00",3.069,153.450,153.450
01.11.2022,"50,00","50,00","50,00","50,00","0,00",612.0,30.600,30.600
14.10.2022,"50,00","50,00","50,00","50,00","0,00",20.0,1.000,1.000
10.10.2022,"50,00","50,00","50,00","50,00","0,00",53.0,2.650,2.650
12.09.2022,"50,00","50,00","50,00","50,00","0,00",3.495,174.750,174.750
17.08.2022,"50,00","50,00","50,00","50,00","0,00",3.675,183.750,183.750
09.08.2022,"50,00","50,00","50,00","50,00","0,00",3.702,185.100,185.100
04.08.2022,"50,00","50,00","50,00","50,00","0,00",12.681,634.050,634.050
03.08.2022,"50,00","50,00","50,00","50,00","0,00",375.0,18.750,18.750
26.07.2022,"50,00","50,00","50,00","50,00","0,00",3.676,183.800,183.800
25.07.2022,"50,00","50,00","50,00","50,00","0,00",1.245,62.250,62.250
22.07.2022,"50,00","50,00","50,00","50,00","0,00",3.214,160.700,160.700
15.07.2022,"50,00","50,00","50,00","50,00","0,00",2.467,123.350,123.350
13.07.2022,"50,00","50,00","50,00","50,00","0,00",4.21,210.500,210.500
12.07.2022,"50,00","50,00","50,00","50,00","0,00",5.054,252.700,252.700
08.07.2022,"50,00","50,00","50,00","50,00","0,00",2.474,123.700,123.700
07.07.2022,"50,00","50,00","50,00","50,00","0,00",4.938,246.900,246.900
06.07.2022,"50,00","50,00","50,00","50,00","0,00",7.175,358.750,358.750
05.07.2022,"50,00","50,00","50,00","50,00","0,00",4.603,230.150,230.150
04.07.2022,"50,00","50,00","50,00","50,00","0,00",3.732,186.600,186.600
29.06.2022,"50,00","50,00","50,00","50,00","0,00",7.719,385.950,385.950
15.06.2022,"50,00","50,00","50,00","50,00","0,00",6.43,321.500,321.500
22.10.2021,"50,00","50,00","50,00","50,00","0,00",1.038,51.900,51.900
24.02.2021,"50,00","50,00","50,00","50,00","0,00",1.92,96.000,96.000
23.02.2021,"50,00","50,00","50,00","50,00","-28,57",50.0,2.500,2.500
16.10.2020,"70,00","70,00","70,00","70,00","2,94",28.328,1.982.960,1.982.960
15.10.2020,"68,00","68,00","68,00","68,00","0,00",3.24,220.320,220.320
14.10.2020,"68,00","68,00","68,00","68,00","0,00",890.0,60.520,60.520
29.05.2020,"68,00","68,00","68,00","68,00","41,67",896.0,60.928,60.928
20.03.2020,"48,00","48,00","48,00","48,00","0,00",2.886,138.528,138.528
12.03.2020,"48,00","48,00","48,00","48,00","0,00",439.0,21.072,21.072
21.02.2020,"48,00","48,00","48,00","48,00","0,00",15.0,720,720
19.02.2020,"48,00","48,00","48,00","48,00","0,00",21.0,1.008,1.008
03.02.2020,"48,00","48,00","48,00","48,00","0,00",24.0,1.152,1.152
23.12.2019,"48,00","48,00","48,00","48,00","0,00",438.0,21.024,21.024
10.10.2019,"48,00","48,00","48,00","48,00","-20,00",50.0,2.400,2.400
03.10.2019,"60,00","60,00","60,00","60,00","0,00",7.796,467.760,467.760
02.10.2019,"60,00","60,00","60,00","60,00","-28,57",10.0,600,600
20.08.2019,"84,00","84,00","84,00","84,00","-2,33",634.0,53.256,53.256
19.08.2019,"86,00","86,00","86,00","86,00","1,18",1.127,96.922,96.922
14.08.2019,"85,00","85,00","85,00","85,00","183,33",500.0,42.500,42.500
17.07.2019,"30,00","30,00","30,00","30,00","0,00",100.0,3.000,3.000
07.05.2019,"30,00","30,00","30,00","30,00","0,00",12.0,360,360
25.02.2019,"30,00","30,00","30,00","30,00","0,00",33.0,990,990
15.02.2019,"30,00","30,00","30,00","30,00","0,00",28.0,840,840
13.02.2019,"30,00","30,00","30,00","30,00","0,00",25.0,750,750
22.11.2018,"30,00","30,00","30,00","30,00","0,00",1.554,46.620,46.620
06.11.2018,"30,00","30,00","30,00","30,00","0,00",9.0,270,270
28.09.2018,"30,00","30,00","30,00","30,00","0,00",1.236,37.080,37.080
17.08.2018,"30,00","30,00","30,00","30,00","0,00",25.0,750,750
04.07.2018,"30,00","30,00","30,00","30,00","0,00",25.0,750,750
08.06.2018,"30,00","30,00","30,00","30,00","0,00",41.0,1.230,1.230
05.06.2018,"30,00","30,00","30,00","30,00","0,00",157.0,4.710,4.710
29.05.2018,"30,00","30,00","30,00","30,00","0,00",100.0,3.000,3.000
