Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07.02.2024,"309,00","309,00","309,00","309,00","0,00",439.0,135.651,135.651
30.01.2024,"309,00","309,00","309,00","309,00","0,00",1.09,336.81,336.81
14.03.2022,"309,00","309,00","309,00","309,00","-7,76",5.0,1.545,1.545
09.09.2021,"335,00","335,00","335,00","335,00","14,33",10.0,3.35,3.35
06.12.2019,"293,00","293,00","293,00","293,00","-2,98",100.0,29.3,29.3
24.06.2019,"302,00","302,00","302,00","302,00","-2,89",442.0,133.484,133.484
30.05.2019,"311,00","311,00","311,00","311,00","22,92",5.0,1.555,1.555
29.05.2019,"253,00","253,00","253,00","253,00","27,78",5.0,1.265,1.265
28.05.2019,"198,00","198,00","198,00","198,00","10,00",4.0,792.0,792.0
16.04.2019,"180,00","180,00","180,00","180,00","0,00",1.574,283.32,283.32
12.04.2019,"180,00","180,00","180,00","180,00","0,00",243.0,43.74,43.74
04.04.2019,"180,00","180,00","180,00","180,00","0,00",201.0,36.18,36.18
01.04.2019,"180,00","180,00","180,00","180,00","0,00",311.0,55.98,55.98
13.03.2019,"180,00","180,00","180,00","180,00","0,00",1.638,294.84,294.84
07.02.2019,"180,00","180,00","180,00","180,00","-1,10",356.0,64.08,64.08
23.01.2019,"182,00","182,00","182,00","182,00","51,67",100.0,18.2,18.2
04.01.2019,"120,00","120,00","120,00","120,00","0,00",621.0,74.52,74.52
03.01.2019,"120,00","120,00","120,00","120,00","-29,41",20.0,2.4,2.4
20.12.2018,"170,00","170,00","170,00","170,00","0,00",712.0,121.04,121.04
14.12.2018,"170,00","170,00","170,00","170,00","0,00",3.249,552.33,552.33
13.09.2018,"170,00","170,00","170,00","170,00","0,00",4.182,710.94,710.94
08.03.2018,"170,00","170,00","170,00","170,00","0,00",323.0,54.91,54.91
04.12.2017,"170,00","170,00","170,00","170,00","0,00",1.024,174.08,174.08
31.10.2017,"170,00","170,00","170,00","170,00","0,00",400.0,68.0,68.0
26.10.2017,"170,00","170,00","170,00","170,00","0,00",75.0,12.75,12.75
13.10.2017,"170,00","170,00","170,00","170,00","0,00",400.0,68.0,68.0
05.07.2017,"170,00","170,00","170,00","170,00","0,00",150.0,25.5,25.5
29.05.2017,"170,00","170,00","170,00","170,00","-2,30",577.0,98.09,98.09
09.05.2017,"174,00","174,00","174,00","174,00","-2,79",200.0,34.8,34.8
04.05.2017,"179,00","179,00","179,00","179,00","-2,72",609.0,109.011,109.011
26.12.2016,"184,00","184,00","184,00","184,00","-7,54",3.026,556.784,556.784
09.12.2016,"199,00","199,00","199,00","199,00","-2,93",2.031,404.169,404.169
07.12.2016,"205,00","205,00","205,00","205,00","-19,92",1.605,329.025,329.025
06.12.2016,"256,00","256,00","256,00","256,00","-20,00",2.0,512.0,512.0
29.11.2016,"320,00","320,00","320,00","320,00","0,00",995.0,318.4,318.4
27.10.2016,"320,00","320,00","320,00","320,00","3,90",5.0,1.6,1.6
21.10.2016,"308,00","308,00","308,00","308,00","14,07",60.0,18.48,18.48
19.10.2016,"270,00","270,00","270,00","270,00","2,66",20.0,5.4,5.4
18.10.2016,"263,00","263,00","263,00","263,00","2,73",20.0,5.26,5.26
12.09.2016,"256,00","256,00","256,00","256,00","0,00",240.0,61.44,61.44
22.07.2016,"256,00","256,00","256,00","256,00","60,00",26.0,6.656,6.656
18.07.2016,"160,00","160,00","160,00","160,00","0,00",300.0,48.0,48.0
09.06.2016,"160,00","160,00","160,00","160,00","-37,50",260.0,41.6,41.6
07.06.2016,"256,00","256,00","256,00","256,00","-16,88",506.0,129.536,129.536
10.12.2015,"308,00","308,00","308,00","308,00","0,00",200.0,61.6,61.6
01.12.2015,"308,00","308,00","308,00","308,00","0,00",381.0,117.348,117.348
27.11.2015,"308,00","308,00","308,00","308,00","0,00",130.0,40.04,40.04
12.06.2015,"308,00","308,00","308,00","308,00","2,67",800.0,246.4,246.4
02.06.2015,"300,00","300,00","300,00","300,00","-2,60",20.0,6.0,6.0
21.05.2015,"308,00","308,00","308,00","308,00","2,67",669.0,206.052,206.052
15.04.2015,"300,00","300,00","300,00","300,00","-2,60",52.0,15.6,15.6
31.03.2015,"308,00","308,00","308,00","308,00","0,00",181.0,55.748,55.748
30.03.2015,"308,00","308,00","308,00","308,00","0,00",150.0,46.2,46.2
17.03.2015,"308,00","308,00","308,00","308,00","0,00",4.0,1.232,1.232
06.03.2015,"308,00","308,00","308,00","308,00","0,00",65.0,20.02,20.02
04.03.2015,"308,00","308,00","308,00","308,00","0,00",40.0,12.32,12.32
24.02.2015,"308,00","308,00","308,00","308,00","0,00",360.0,110.88,110.88
22.01.2015,"308,00","308,00","308,00","308,00","0,00",400.0,123.2,123.2
17.12.2014,"308,00","308,00","308,00","308,00","0,00",706.0,217.448,217.448
12.12.2014,"308,00","308,00","308,00","308,00","0,00",719.0,221.452,221.452
02.12.2014,"308,00","308,00","308,00","308,00","0,00",493.0,151.844,151.844
24.11.2014,"308,00","308,00","308,00","308,00","0,00",818.0,251.944,251.944
